Country,Date,ConfirmedCases,NewCases
Sri Lanka,22/01/2020,0,0
Sudan,22/01/2020,0,0
Summer Olympics 2020,22/01/2020,0,0
Suriname,22/01/2020,0,0
Sweden,22/01/2020,0,0
Switzerland,22/01/2020,0,0
Syria,22/01/2020,0,0
Taiwan*,22/01/2020,1,1
Tajikistan,22/01/2020,0,0
Tanzania,22/01/2020,0,0
Thailand,22/01/2020,4,4
Timor-Leste,22/01/2020,0,0
Togo,22/01/2020,0,0
Trinidad and Tobago,22/01/2020,0,0
Tunisia,22/01/2020,0,0
Turkey,22/01/2020,0,0
Uganda,22/01/2020,0,0
Ukraine,22/01/2020,0,0
United Arab Emirates,22/01/2020,0,0
United Kingdom,22/01/2020,0,0
Uruguay,22/01/2020,0,0
US,22/01/2020,1,1
Uzbekistan,22/01/2020,0,0
Vanuatu,22/01/2020,0,0
Venezuela,22/01/2020,0,0
Vietnam,22/01/2020,0,0
West Bank and Gaza,22/01/2020,0,0
Yemen,22/01/2020,0,0
Zambia,22/01/2020,0,0
Zimbabwe,22/01/2020,0,0
Afghanistan,23/01/2020,0,0
Albania,23/01/2020,0,0
Algeria,23/01/2020,0,0
Andorra,23/01/2020,0,0
Angola,23/01/2020,0,0
Antigua and Barbuda,23/01/2020,0,0
Argentina,23/01/2020,0,0
Armenia,23/01/2020,0,0
Australia,23/01/2020,0,0
Austria,23/01/2020,0,0
Azerbaijan,23/01/2020,0,0
Bahamas,23/01/2020,0,0
Bahrain,23/01/2020,0,0
Bangladesh,23/01/2020,0,0
Barbados,23/01/2020,0,0
Belarus,23/01/2020,0,0
Belgium,23/01/2020,0,0
Belize,23/01/2020,0,0
Benin,23/01/2020,0,0
Bhutan,23/01/2020,0,0
Bolivia,23/01/2020,0,0
Bosnia and Herzegovina,23/01/2020,0,0
Botswana,23/01/2020,0,0
Brazil,23/01/2020,0,0
Brunei,23/01/2020,0,0
Bulgaria,23/01/2020,0,0
Burkina Faso,23/01/2020,0,0
Burma,23/01/2020,0,0
Burundi,23/01/2020,0,0
Cabo Verde,23/01/2020,0,0
Cambodia,23/01/2020,0,0
Cameroon,23/01/2020,0,0
Canada,23/01/2020,0,0
Central African Republic,23/01/2020,0,0
Chad,23/01/2020,0,0
Chile,23/01/2020,0,0
China,23/01/2020,643,95
Colombia,23/01/2020,0,0
Comoros,23/01/2020,0,0
Congo (Brazzaville),23/01/2020,0,0
Congo (Kinshasa),23/01/2020,0,0
Costa Rica,23/01/2020,0,0
Cote d'Ivoire,23/01/2020,0,0
Croatia,23/01/2020,0,0
Cuba,23/01/2020,0,0
Cyprus,23/01/2020,0,0
Czechia,23/01/2020,0,0
Denmark,23/01/2020,0,0
Diamond Princess,23/01/2020,0,0
Djibouti,23/01/2020,0,0
Dominica,23/01/2020,0,0
Dominican Republic,23/01/2020,0,0
Ecuador,23/01/2020,0,0
Egypt,23/01/2020,0,0
El Salvador,23/01/2020,0,0
Equatorial Guinea,23/01/2020,0,0
Eritrea,23/01/2020,0,0
Estonia,23/01/2020,0,0
Eswatini,23/01/2020,0,0
Ethiopia,23/01/2020,0,0
Fiji,23/01/2020,0,0
Finland,23/01/2020,0,0
France,23/01/2020,0,0
Gabon,23/01/2020,0,0
Gambia,23/01/2020,0,0
Georgia,23/01/2020,0,0
Germany,23/01/2020,0,0
Ghana,23/01/2020,0,0
Greece,23/01/2020,0,0
Grenada,23/01/2020,0,0
Guatemala,23/01/2020,0,0
Guinea,23/01/2020,0,0
Guinea-Bissau,23/01/2020,0,0
Guyana,23/01/2020,0,0
Haiti,23/01/2020,0,0
Holy See,23/01/2020,0,0
Honduras,23/01/2020,0,0
Hungary,23/01/2020,0,0
Iceland,23/01/2020,0,0
India,23/01/2020,0,0
Indonesia,23/01/2020,0,0
Iran,23/01/2020,0,0
Iraq,23/01/2020,0,0
Ireland,23/01/2020,0,0
Israel,23/01/2020,0,0
Italy,23/01/2020,0,0
Jamaica,23/01/2020,0,0
Japan,23/01/2020,2,0
Jordan,23/01/2020,0,0
Kazakhstan,23/01/2020,0,0
Kenya,23/01/2020,0,0
Kiribati,23/01/2020,0,0
"Korea, South",23/01/2020,1,0
Kosovo,23/01/2020,0,0
Kuwait,23/01/2020,0,0
Kyrgyzstan,23/01/2020,0,0
Laos,23/01/2020,0,0
Latvia,23/01/2020,0,0
Lebanon,23/01/2020,0,0
Lesotho,23/01/2020,0,0
Liberia,23/01/2020,0,0
Libya,23/01/2020,0,0
Liechtenstein,23/01/2020,0,0
Lithuania,23/01/2020,0,0
Luxembourg,23/01/2020,0,0
Madagascar,23/01/2020,0,0
Malawi,23/01/2020,0,0
Malaysia,23/01/2020,0,0
Maldives,23/01/2020,0,0
Mali,23/01/2020,0,0
Malta,23/01/2020,0,0
Marshall Islands,23/01/2020,0,0
Mauritania,23/01/2020,0,0
Mauritius,23/01/2020,0,0
Mexico,23/01/2020,0,0
Micronesia,23/01/2020,0,0
Moldova,23/01/2020,0,0
Monaco,23/01/2020,0,0
Mongolia,23/01/2020,0,0
Montenegro,23/01/2020,0,0
Morocco,23/01/2020,0,0
Mozambique,23/01/2020,0,0
MS Zaandam,23/01/2020,0,0
Namibia,23/01/2020,0,0
Nepal,23/01/2020,0,0
Netherlands,23/01/2020,0,0
New Zealand,23/01/2020,0,0
Nicaragua,23/01/2020,0,0
Niger,23/01/2020,0,0
Nigeria,23/01/2020,0,0
North Macedonia,23/01/2020,0,0
Norway,23/01/2020,0,0
Oman,23/01/2020,0,0
Pakistan,23/01/2020,0,0
Palau,23/01/2020,0,0
Panama,23/01/2020,0,0
Papua New Guinea,23/01/2020,0,0
Paraguay,23/01/2020,0,0
Peru,23/01/2020,0,0
Philippines,23/01/2020,0,0
Poland,23/01/2020,0,0
Portugal,23/01/2020,0,0
Qatar,23/01/2020,0,0
Romania,23/01/2020,0,0
Russia,23/01/2020,0,0
Rwanda,23/01/2020,0,0
Saint Kitts and Nevis,23/01/2020,0,0
Saint Lucia,23/01/2020,0,0
Saint Vincent and the Grenadines,23/01/2020,0,0
Samoa,23/01/2020,0,0
San Marino,23/01/2020,0,0
Sao Tome and Principe,23/01/2020,0,0
Saudi Arabia,23/01/2020,0,0
Senegal,23/01/2020,0,0
Serbia,23/01/2020,0,0
Seychelles,23/01/2020,0,0
Sierra Leone,23/01/2020,0,0
Singapore,23/01/2020,1,1
Slovakia,23/01/2020,0,0
Slovenia,23/01/2020,0,0
Solomon Islands,23/01/2020,0,0
Somalia,23/01/2020,0,0
South Africa,23/01/2020,0,0
South Sudan,23/01/2020,0,0
Spain,23/01/2020,0,0
Sri Lanka,23/01/2020,0,0
Sudan,23/01/2020,0,0
Summer Olympics 2020,23/01/2020,0,0
Suriname,23/01/2020,0,0
Sweden,23/01/2020,0,0
Switzerland,23/01/2020,0,0
Syria,23/01/2020,0,0
Taiwan*,23/01/2020,1,0
Tajikistan,23/01/2020,0,0
Tanzania,23/01/2020,0,0
Thailand,23/01/2020,4,0
Timor-Leste,23/01/2020,0,0
Togo,23/01/2020,0,0
Trinidad and Tobago,23/01/2020,0,0
Tunisia,23/01/2020,0,0
Turkey,23/01/2020,0,0
Uganda,23/01/2020,0,0
Ukraine,23/01/2020,0,0
United Arab Emirates,23/01/2020,0,0
United Kingdom,23/01/2020,0,0
Uruguay,23/01/2020,0,0
US,23/01/2020,1,0
Uzbekistan,23/01/2020,0,0
Vanuatu,23/01/2020,0,0
Venezuela,23/01/2020,0,0
Vietnam,23/01/2020,2,2
West Bank and Gaza,23/01/2020,0,0
Yemen,23/01/2020,0,0
Zambia,23/01/2020,0,0
Zimbabwe,23/01/2020,0,0
Afghanistan,24/01/2020,0,0
Albania,24/01/2020,0,0
Algeria,24/01/2020,0,0
Andorra,24/01/2020,0,0
Angola,24/01/2020,0,0
Antigua and Barbuda,24/01/2020,0,0
Argentina,24/01/2020,0,0
Armenia,24/01/2020,0,0
Australia,24/01/2020,0,0
Austria,24/01/2020,0,0
Azerbaijan,24/01/2020,0,0
Bahamas,24/01/2020,0,0
Bahrain,24/01/2020,0,0
Bangladesh,24/01/2020,0,0
Barbados,24/01/2020,0,0
Belarus,24/01/2020,0,0
Belgium,24/01/2020,0,0
Belize,24/01/2020,0,0
Benin,24/01/2020,0,0
Bhutan,24/01/2020,0,0
Bolivia,24/01/2020,0,0
Bosnia and Herzegovina,24/01/2020,0,0
Botswana,24/01/2020,0,0
Brazil,24/01/2020,0,0
Brunei,24/01/2020,0,0
Bulgaria,24/01/2020,0,0
Burkina Faso,24/01/2020,0,0
Burma,24/01/2020,0,0
Burundi,24/01/2020,0,0
Cabo Verde,24/01/2020,0,0
Cambodia,24/01/2020,0,0
Cameroon,24/01/2020,0,0
Canada,24/01/2020,0,0
Central African Republic,24/01/2020,0,0
Chad,24/01/2020,0,0
Chile,24/01/2020,0,0
China,24/01/2020,920,277
Colombia,24/01/2020,0,0
Comoros,24/01/2020,0,0
Congo (Brazzaville),24/01/2020,0,0
Congo (Kinshasa),24/01/2020,0,0
Costa Rica,24/01/2020,0,0
Cote d'Ivoire,24/01/2020,0,0
Croatia,24/01/2020,0,0
Cuba,24/01/2020,0,0
Cyprus,24/01/2020,0,0
Czechia,24/01/2020,0,0
Denmark,24/01/2020,0,0
Diamond Princess,24/01/2020,0,0
Djibouti,24/01/2020,0,0
Dominica,24/01/2020,0,0
Dominican Republic,24/01/2020,0,0
Ecuador,24/01/2020,0,0
Egypt,24/01/2020,0,0
El Salvador,24/01/2020,0,0
Equatorial Guinea,24/01/2020,0,0
Eritrea,24/01/2020,0,0
Estonia,24/01/2020,0,0
Eswatini,24/01/2020,0,0
Ethiopia,24/01/2020,0,0
Fiji,24/01/2020,0,0
Finland,24/01/2020,0,0
France,24/01/2020,2,2
Gabon,24/01/2020,0,0
Gambia,24/01/2020,0,0
Georgia,24/01/2020,0,0
Germany,24/01/2020,0,0
Ghana,24/01/2020,0,0
Greece,24/01/2020,0,0
Grenada,24/01/2020,0,0
Guatemala,24/01/2020,0,0
Guinea,24/01/2020,0,0
Guinea-Bissau,24/01/2020,0,0
Guyana,24/01/2020,0,0
Haiti,24/01/2020,0,0
Holy See,24/01/2020,0,0
Honduras,24/01/2020,0,0
Hungary,24/01/2020,0,0
Iceland,24/01/2020,0,0
India,24/01/2020,0,0
Indonesia,24/01/2020,0,0
Iran,24/01/2020,0,0
Iraq,24/01/2020,0,0
Ireland,24/01/2020,0,0
Israel,24/01/2020,0,0
Italy,24/01/2020,0,0
Jamaica,24/01/2020,0,0
Japan,24/01/2020,2,0
Jordan,24/01/2020,0,0
Kazakhstan,24/01/2020,0,0
Kenya,24/01/2020,0,0
Kiribati,24/01/2020,0,0
"Korea, South",24/01/2020,2,1
Kosovo,24/01/2020,0,0
Kuwait,24/01/2020,0,0
Kyrgyzstan,24/01/2020,0,0
Laos,24/01/2020,0,0
Latvia,24/01/2020,0,0
Lebanon,24/01/2020,0,0
Lesotho,24/01/2020,0,0
Liberia,24/01/2020,0,0
Libya,24/01/2020,0,0
Liechtenstein,24/01/2020,0,0
Lithuania,24/01/2020,0,0
Luxembourg,24/01/2020,0,0
Madagascar,24/01/2020,0,0
Malawi,24/01/2020,0,0
Malaysia,24/01/2020,0,0
Maldives,24/01/2020,0,0
Mali,24/01/2020,0,0
Malta,24/01/2020,0,0
Marshall Islands,24/01/2020,0,0
Mauritania,24/01/2020,0,0
Mauritius,24/01/2020,0,0
Mexico,24/01/2020,0,0
Micronesia,24/01/2020,0,0
Moldova,24/01/2020,0,0
Monaco,24/01/2020,0,0
Mongolia,24/01/2020,0,0
Montenegro,24/01/2020,0,0
Morocco,24/01/2020,0,0
Mozambique,24/01/2020,0,0
MS Zaandam,24/01/2020,0,0
Namibia,24/01/2020,0,0
Nepal,24/01/2020,0,0
Netherlands,24/01/2020,0,0
New Zealand,24/01/2020,0,0
Nicaragua,24/01/2020,0,0
Niger,24/01/2020,0,0
Nigeria,24/01/2020,0,0
North Macedonia,24/01/2020,0,0
Norway,24/01/2020,0,0
Oman,24/01/2020,0,0
Pakistan,24/01/2020,0,0
Palau,24/01/2020,0,0
Panama,24/01/2020,0,0
Papua New Guinea,24/01/2020,0,0
Paraguay,24/01/2020,0,0
Peru,24/01/2020,0,0
Philippines,24/01/2020,0,0
Poland,24/01/2020,0,0
Portugal,24/01/2020,0,0
Qatar,24/01/2020,0,0
Romania,24/01/2020,0,0
Russia,24/01/2020,0,0
Rwanda,24/01/2020,0,0
Saint Kitts and Nevis,24/01/2020,0,0
Saint Lucia,24/01/2020,0,0
Saint Vincent and the Grenadines,24/01/2020,0,0
Samoa,24/01/2020,0,0
San Marino,24/01/2020,0,0
Sao Tome and Principe,24/01/2020,0,0
Saudi Arabia,24/01/2020,0,0
Senegal,24/01/2020,0,0
Serbia,24/01/2020,0,0
Seychelles,24/01/2020,0,0
Sierra Leone,24/01/2020,0,0
Singapore,24/01/2020,3,2
Slovakia,24/01/2020,0,0
Slovenia,24/01/2020,0,0
Solomon Islands,24/01/2020,0,0
Somalia,24/01/2020,0,0
South Africa,24/01/2020,0,0
South Sudan,24/01/2020,0,0
Spain,24/01/2020,0,0
Sri Lanka,24/01/2020,0,0
Sudan,24/01/2020,0,0
Summer Olympics 2020,24/01/2020,0,0
Suriname,24/01/2020,0,0
Sweden,24/01/2020,0,0
Switzerland,24/01/2020,0,0
Syria,24/01/2020,0,0
Taiwan*,24/01/2020,3,2
Tajikistan,24/01/2020,0,0
Tanzania,24/01/2020,0,0
Thailand,24/01/2020,5,1
Timor-Leste,24/01/2020,0,0
Togo,24/01/2020,0,0
Trinidad and Tobago,24/01/2020,0,0
Tunisia,24/01/2020,0,0
Turkey,24/01/2020,0,0
Uganda,24/01/2020,0,0
Ukraine,24/01/2020,0,0
United Arab Emirates,24/01/2020,0,0
United Kingdom,24/01/2020,0,0
Uruguay,24/01/2020,0,0
US,24/01/2020,2,1
Uzbekistan,24/01/2020,0,0
Vanuatu,24/01/2020,0,0
Venezuela,24/01/2020,0,0
Vietnam,24/01/2020,2,0
West Bank and Gaza,24/01/2020,0,0
Yemen,24/01/2020,0,0
Zambia,24/01/2020,0,0
Zimbabwe,24/01/2020,0,0
Afghanistan,25/01/2020,0,0
Albania,25/01/2020,0,0
Algeria,25/01/2020,0,0
Andorra,25/01/2020,0,0
Angola,25/01/2020,0,0
Antigua and Barbuda,25/01/2020,0,0
Argentina,25/01/2020,0,0
Armenia,25/01/2020,0,0
Australia,25/01/2020,0,0
Austria,25/01/2020,0,0
Azerbaijan,25/01/2020,0,0
Bahamas,25/01/2020,0,0
Bahrain,25/01/2020,0,0
Bangladesh,25/01/2020,0,0
Barbados,25/01/2020,0,0
Belarus,25/01/2020,0,0
Belgium,25/01/2020,0,0
Belize,25/01/2020,0,0
Benin,25/01/2020,0,0
Bhutan,25/01/2020,0,0
Bolivia,25/01/2020,0,0
Bosnia and Herzegovina,25/01/2020,0,0
Botswana,25/01/2020,0,0
Brazil,25/01/2020,0,0
Brunei,25/01/2020,0,0
Bulgaria,25/01/2020,0,0
Burkina Faso,25/01/2020,0,0
Burma,25/01/2020,0,0
Burundi,25/01/2020,0,0
Cabo Verde,25/01/2020,0,0
Cambodia,25/01/2020,0,0
Cameroon,25/01/2020,0,0
Canada,25/01/2020,0,0
Central African Republic,25/01/2020,0,0
Chad,25/01/2020,0,0
Chile,25/01/2020,0,0
China,25/01/2020,1406,486
Colombia,25/01/2020,0,0
Comoros,25/01/2020,0,0
Congo (Brazzaville),25/01/2020,0,0
Congo (Kinshasa),25/01/2020,0,0
Costa Rica,25/01/2020,0,0
Cote d'Ivoire,25/01/2020,0,0
Croatia,25/01/2020,0,0
Cuba,25/01/2020,0,0
Cyprus,25/01/2020,0,0
Czechia,25/01/2020,0,0
Denmark,25/01/2020,0,0
Diamond Princess,25/01/2020,0,0
Djibouti,25/01/2020,0,0
Dominica,25/01/2020,0,0
Dominican Republic,25/01/2020,0,0
Ecuador,25/01/2020,0,0
Egypt,25/01/2020,0,0
El Salvador,25/01/2020,0,0
Equatorial Guinea,25/01/2020,0,0
Eritrea,25/01/2020,0,0
Estonia,25/01/2020,0,0
Eswatini,25/01/2020,0,0
Ethiopia,25/01/2020,0,0
Fiji,25/01/2020,0,0
Finland,25/01/2020,0,0
France,25/01/2020,3,1
Gabon,25/01/2020,0,0
Gambia,25/01/2020,0,0
Georgia,25/01/2020,0,0
Germany,25/01/2020,0,0
Ghana,25/01/2020,0,0
Greece,25/01/2020,0,0
Grenada,25/01/2020,0,0
Guatemala,25/01/2020,0,0
Guinea,25/01/2020,0,0
Guinea-Bissau,25/01/2020,0,0
Guyana,25/01/2020,0,0
Haiti,25/01/2020,0,0
Holy See,25/01/2020,0,0
Honduras,25/01/2020,0,0
Hungary,25/01/2020,0,0
Iceland,25/01/2020,0,0
India,25/01/2020,0,0
Indonesia,25/01/2020,0,0
Iran,25/01/2020,0,0
Iraq,25/01/2020,0,0
Ireland,25/01/2020,0,0
Israel,25/01/2020,0,0
Italy,25/01/2020,0,0
Jamaica,25/01/2020,0,0
Japan,25/01/2020,2,0
Jordan,25/01/2020,0,0
Kazakhstan,25/01/2020,0,0
Kenya,25/01/2020,0,0
Kiribati,25/01/2020,0,0
"Korea, South",25/01/2020,2,0
Kosovo,25/01/2020,0,0
Kuwait,25/01/2020,0,0
Kyrgyzstan,25/01/2020,0,0
Laos,25/01/2020,0,0
Latvia,25/01/2020,0,0
Lebanon,25/01/2020,0,0
Lesotho,25/01/2020,0,0
Liberia,25/01/2020,0,0
Libya,25/01/2020,0,0
Liechtenstein,25/01/2020,0,0
Lithuania,25/01/2020,0,0
Luxembourg,25/01/2020,0,0
Madagascar,25/01/2020,0,0
Malawi,25/01/2020,0,0
Malaysia,25/01/2020,3,3
Maldives,25/01/2020,0,0
Mali,25/01/2020,0,0
Malta,25/01/2020,0,0
Marshall Islands,25/01/2020,0,0
Mauritania,25/01/2020,0,0
Mauritius,25/01/2020,0,0
Mexico,25/01/2020,0,0
Micronesia,25/01/2020,0,0
Moldova,25/01/2020,0,0
Monaco,25/01/2020,0,0
Mongolia,25/01/2020,0,0
Montenegro,25/01/2020,0,0
Morocco,25/01/2020,0,0
Mozambique,25/01/2020,0,0
MS Zaandam,25/01/2020,0,0
Namibia,25/01/2020,0,0
Nepal,25/01/2020,1,1
Netherlands,25/01/2020,0,0
New Zealand,25/01/2020,0,0
Nicaragua,25/01/2020,0,0
Niger,25/01/2020,0,0
Nigeria,25/01/2020,0,0
North Macedonia,25/01/2020,0,0
Norway,25/01/2020,0,0
Oman,25/01/2020,0,0
Pakistan,25/01/2020,0,0
Palau,25/01/2020,0,0
Panama,25/01/2020,0,0
Papua New Guinea,25/01/2020,0,0
Paraguay,25/01/2020,0,0
Peru,25/01/2020,0,0
Philippines,25/01/2020,0,0
Poland,25/01/2020,0,0
Portugal,25/01/2020,0,0
Qatar,25/01/2020,0,0
Romania,25/01/2020,0,0
Russia,25/01/2020,0,0
Rwanda,25/01/2020,0,0
Saint Kitts and Nevis,25/01/2020,0,0
Saint Lucia,25/01/2020,0,0
Saint Vincent and the Grenadines,25/01/2020,0,0
Samoa,25/01/2020,0,0
San Marino,25/01/2020,0,0
Sao Tome and Principe,25/01/2020,0,0
Saudi Arabia,25/01/2020,0,0
Senegal,25/01/2020,0,0
Serbia,25/01/2020,0,0
Seychelles,25/01/2020,0,0
Sierra Leone,25/01/2020,0,0
Singapore,25/01/2020,3,0
Slovakia,25/01/2020,0,0
Slovenia,25/01/2020,0,0
Solomon Islands,25/01/2020,0,0
Somalia,25/01/2020,0,0
South Africa,25/01/2020,0,0
South Sudan,25/01/2020,0,0
Spain,25/01/2020,0,0
Sri Lanka,25/01/2020,0,0
Sudan,25/01/2020,0,0
Summer Olympics 2020,25/01/2020,0,0
Suriname,25/01/2020,0,0
Sweden,25/01/2020,0,0
Switzerland,25/01/2020,0,0
Syria,25/01/2020,0,0
Taiwan*,25/01/2020,3,0
Tajikistan,25/01/2020,0,0
Tanzania,25/01/2020,0,0
Thailand,25/01/2020,6,1
Timor-Leste,25/01/2020,0,0
Togo,25/01/2020,0,0
Trinidad and Tobago,25/01/2020,0,0
Tunisia,25/01/2020,0,0
Turkey,25/01/2020,0,0
Uganda,25/01/2020,0,0
Ukraine,25/01/2020,0,0
United Arab Emirates,25/01/2020,0,0
United Kingdom,25/01/2020,0,0
Uruguay,25/01/2020,0,0
US,25/01/2020,2,0
Uzbekistan,25/01/2020,0,0
Vanuatu,25/01/2020,0,0
Venezuela,25/01/2020,0,0
Vietnam,25/01/2020,2,0
West Bank and Gaza,25/01/2020,0,0
Yemen,25/01/2020,0,0
Zambia,25/01/2020,0,0
Zimbabwe,25/01/2020,0,0
Afghanistan,26/01/2020,0,0
Albania,26/01/2020,0,0
Algeria,26/01/2020,0,0
Andorra,26/01/2020,0,0
Angola,26/01/2020,0,0
Antigua and Barbuda,26/01/2020,0,0
Argentina,26/01/2020,0,0
Armenia,26/01/2020,0,0
Australia,26/01/2020,4,4
Austria,26/01/2020,0,0
Azerbaijan,26/01/2020,0,0
Bahamas,26/01/2020,0,0
Bahrain,26/01/2020,0,0
Bangladesh,26/01/2020,0,0
Barbados,26/01/2020,0,0
Belarus,26/01/2020,0,0
Belgium,26/01/2020,0,0
Belize,26/01/2020,0,0
Benin,26/01/2020,0,0
Bhutan,26/01/2020,0,0
Bolivia,26/01/2020,0,0
Bosnia and Herzegovina,26/01/2020,0,0
Botswana,26/01/2020,0,0
Brazil,26/01/2020,0,0
Brunei,26/01/2020,0,0
Bulgaria,26/01/2020,0,0
Burkina Faso,26/01/2020,0,0
Burma,26/01/2020,0,0
Burundi,26/01/2020,0,0
Cabo Verde,26/01/2020,0,0
Cambodia,26/01/2020,0,0
Cameroon,26/01/2020,0,0
Canada,26/01/2020,1,1
Central African Republic,26/01/2020,0,0
Chad,26/01/2020,0,0
Chile,26/01/2020,0,0
China,26/01/2020,2075,669
Colombia,26/01/2020,0,0
Comoros,26/01/2020,0,0
Congo (Brazzaville),26/01/2020,0,0
Congo (Kinshasa),26/01/2020,0,0
Costa Rica,26/01/2020,0,0
Cote d'Ivoire,26/01/2020,0,0
Croatia,26/01/2020,0,0
Cuba,26/01/2020,0,0
